shipment_date,region,transport_mode,shipment_volume,distance_km,delivery_time_days,delivery_delay_days,transport_cost,customer_satisfaction,delivery_status
2025-01-01,East,Air,789,1421,8.36,4.36,3226.61,3.0,Delayed
2025-01-02,West,Air,774,725,5.66,1.66,2066.8,3.9,Delayed
2025-01-03,North,Road,479,139,1.42,0.0,636.12,5.0,On Time
2025-01-04,East,Road,644,747,5.31,1.31,1841.71,4.4,Delayed
2025-01-05,East,Road,790,1389,7.57,3.57,3313.39,3.7,Delayed
2025-01-06,West,Road,526,1251,6.08,2.08,2715.45,4.4,Delayed
2025-01-07,North,Air,712,589,3.68,0.0,1348.52,4.5,On Time
2025-01-08,North,Air,367,781,4.64,0.64,1646.54,4.9,Delayed
2025-01-09,East,Road,934,918,4.89,0.89,2317.72,4.9,Delayed
2025-01-10,South,Road,676,90,2.64,0.0,495.75,5.0,On Time
2025-01-11,East,Road,516,789,4.35,0.35,1918.44,4.7,Delayed
2025-01-12,East,Road,267,551,2.74,0.0,1223.04,5.0,On Time
2025-01-13,East,Road,941,1008,6.84,2.84,2561.3,3.8,Delayed
2025-01-14,East,Road,142,1218,5.32,1.32,2657.1,4.9,Delayed
2025-01-15,West,Air,655,1274,6.64,2.64,2862.73,4.1,Delayed
2025-01-16,North,Road,384,978,5.48,1.48,2203.51,4.4,Delayed
2025-01-17,West,Road,496,510,3.69,0.0,1092.52,4.8,On Time
2025-01-18,West,Rail,111,781,4.05,0.05,1605.11,5.0,Delayed
2025-01-19,West,Road,706,801,5.49,1.49,1831.8,4.2,Delayed
2025-01-20,East,Air,401,974,5.33,1.33,2163.02,4.0,Delayed
2025-01-21,South,Air,997,958,6.33,2.33,2438.1,4.0,Delayed
2025-01-22,North,Road,352,1326,7.02,3.02,2851.27,4.0,Delayed
2025-01-23,South,Road,598,439,4.28,0.28,1128.99,4.8,Delayed
2025-01-24,West,Road,853,932,5.77,1.77,2520.35,4.8,Delayed
2025-01-25,West,Road,134,305,1.83,0.0,550.2,4.5,On Time
2025-01-26,South,Road,826,758,5.5,1.5,1796.09,4.6,Delayed
2025-01-27,South,Rail,948,499,4.67,0.67,1637.5,5.0,Delayed
2025-01-28,South,Road,189,59,2.43,0.0,142.07,4.9,On Time
2025-01-29,West,Road,875,873,6.15,2.15,2089.03,3.9,Delayed
2025-01-30,West,Road,704,847,5.61,1.61,2276.29,4.5,Delayed
2025-01-31,North,Air,701,1315,6.79,2.79,3079.07,3.8,Delayed
2025-02-01,North,Road,517,1324,6.01,2.01,2847.05,3.4,Delayed
2025-02-02,West,Road,214,926,4.42,0.42,1980.75,4.5,Delayed
2025-02-03,South,Road,716,1078,6.26,2.26,2708.59,3.9,Delayed
2025-02-04,South,Air,295,1192,4.7,0.7,2600.66,4.2,Delayed
2025-02-05,North,Road,925,1065,7.02,3.02,2721.11,3.3,Delayed
